Justificativa,Justificativa_processada,Classificacao
Participação Em Apresentação De Nova Planta Que Está Sendo Construída.Em Fase Final.,participacao em apresentacao de nova planta que esta sendo construida.em fase final.,
Acompanhamento de limpeza no TK 2201.,acompanhamento de limpeza no tk 2201.,
"Eleições municipais 2024, 1º turno.","eleicoes municipais 2024, 1o turno.",
RMS e Workhop,rms e workhop,
Susbtituição de Funcionário,susbtituicao de funcionario,
Operação do Alto Forno 01 instável,operacao do alto forno 01 instavel,
EPM - EQUIPAMENTO DE PROTEÇÃO MENTAL,epm - equipamento de protecao mental,
FERIAS DE SUPERVISOR,ferias de supervisor,
ACOMPANHAMENTO APÓS RETORNO OPERACIONAL DO ALTO FORNO 01,acompanhamento apos retorno operacional do alto forno 01,
RMS da letra D,rms da letra d,
ACOMPANHAMENTO DE REINICIO DE OPERAÇÃO DO ALTO FORNO 01,acompanhamento de reinicio de operacao do alto forno 01,
RMS,rms,
ACOMPANHAMENTO DE PROCESSO DO AF1 DEVIDO INSTABILIDADE OPERACIONAL,acompanhamento de processo do af1 devido instabilidade operacional,
ACOMPANHAMENTO DO PROCESSO DO AF1 (INSTABILIDADE OPERACIONAL),acompanhamento do processo do af1 (instabilidade operacional),
ROLETE DA MCC3,rolete da mcc3,
INTER JORNADA DO DIA 16/01,inter jornada do dia 16/01,
ACOMPANHAMENTO DO FORNO 2,acompanhamento do forno 2,
AJUSTE NA VAZAO DA PENEIRA CS07,ajuste na vazao da peneira cs07,
MOTOR VENTILADOR PRINCIPAL,motor ventilador principal,
VALVULA DE EQUALIZAÇÃO DO HS1,valvula de equalizacao do hs1,
RPT DO AF 3,rpt do af 3,
CARREGAMENTO AF3 BALANÇA 1 SINTER,carregamento af3 balanca 1 sinter,
ACOMPANHAMENTO NO FORNO 2 CASA DE CORRIDA,acompanhamento no forno 2 casa de corrida,
TROCA DO VENTILADOR DA TORRE DE REFRIGERAÇÃO AF2,troca do ventilador da torre de refrigeracao af2,
PREPARAÇAO CILINDRO DE GIRO CANHAO1 AF2,preparacao cilindro de giro canhao1 af2,
TROCA DO CILINDRO DE GIRO CANHAO1 AF2,troca do cilindro de giro canhao1 af2,
TROCA DA MARRETA 4 AF3,troca da marreta 4 af3,
TROCA DA FM26,troca da fm26,
ORGANIZAÇAO DO GALPÃO,organizacao do galpao,
SINTER 1 QUEBRA DA CALHA VIBRATORIA,sinter 1 quebra da calha vibratoria,
RETIRADA DA CARRIAGEM,retirada da carriagem,
ACOMPANHAMENTO NA OFICINA CENTRAL CARRIAGEM,acompanhamento na oficina central carriagem,
MONTAGEM DA CARRIAGEM,montagem da carriagem,
MONTAGEM DA LANÇA MOVEL,montagem da lanca movel,
ACIONAMENTO DO JIB 2,acionamento do jib 2,
ORGANIZAÇÃO DO GALPÃO,organizacao do galpao,
VENTILADOR 1 DA REFRIGERAÇAÕ,ventilador 1 da refrigeracao,
MOSTRAR GUINDASTE PARA RETIRADA DA SONDAGEM NO AF2,mostrar guindaste para retirada da sondagem no af2,
RECEBIMENTO DA LANÇA FIXA AF3,recebimento da lanca fixa af3,
ACOMPANHAMENTO DO AF3,acompanhamento do af3,
JIB 2,jib 2,
ACOMPANHAMENTO DO AF03,acompanhamento do af03,
PENEIRA 3 DE COQUE TRACA DAS VIGAS,peneira 3 de coque traca das vigas,
PENEIRA 4 DE COQUE CELULA VIBRATORIA,peneira 4 de coque celula vibratoria,
FABRICAÇÃO DE CARRETEL PARA CIRCUITO FECHADO 1,fabricacao de carretel para circuito fechado 1,
"TRABALHEI ATE  AS 13:00 E VOLTEI AS 18:00"" ACOMPANHAMENTO AF3""","trabalhei ate  as 13:00 e voltei as 18:00"" acompanhamento af3""",
ACOMPANHAMENTO AF3,acompanhamento af3,
TROCA DO PERFURADOR 4 AF3,troca do perfurador 4 af3,
TROCA DA PLATAFORMA DA CASA DE CORRIDA AF2,troca da plataforma da casa de corrida af2,
