,Justificativa,Justificativa_processada
0,"Eleições municipais 2024, 1º turno.","eleicoes municipais 2024, 1o turno."
1,Substituição de Funcionário,substituicao de funcionario
2,ROLETE DA MCC3,rolete da mcc3
3,PARADA AF2 E TROCA DA MARRETA 4 DO AF3,parada af2 e troca da marreta 4 do af3
4,PARADA DE EMERGENCIA DO CANHÃO E PERFURADOR 2 AF2,parada de emergencia do canhao e perfurador 2 af2
5,INTER JORNADA DO DIA 16/01,inter jornada do dia 16/01
6,INSPEÇAO NA AREA DOS FORNOS E PCI,inspecao na area dos fornos e pci
7,PARADA DO FORNO 1,parada do forno 1
8,VAZAMENTO DE AGUA DESMIR LIMPEZA DE GÁS,vazamento de agua desmir limpeza de gas
9,PARADA DE EMERGENCIA CAIXA 16,parada de emergencia caixa 16
10,ACOMPANHAMENTO DO FORNO 2,acompanhamento do forno 2
11,PARADA DO FORNO 2,parada do forno 2
12,FINALIZAÇÃO E MANUTENÇÃO NO ESPESSADOR 2,finalizacao e manutencao no espessador 2
13,INSPEÇÃO NA AREA DOS FORNOS E PCIs,inspecao na area dos fornos e pcis
14,"PARADA DE EMERGENCIA AF2 VENTANEIRAS 10,11 E 12","parada de emergencia af2 ventaneiras 10,11 e 12"
15,AJUSTE NA VAZAO DA PENEIRA CS07,ajuste na vazao da peneira cs07
16,MOTOR VENTILADOR PRINCIPAL,motor ventilador principal
17,INSPEÇÃO NO MOTOR DO VENTILADOR PRINCIPAL,inspecao no motor do ventilador principal
18,INSPEÇÃO NA CASA DE CORRIDA COIFAS,inspecao na casa de corrida coifas
19,VALVULA DE EQUALIZAÇÃO DO HS1,valvula de equalizacao do hs1
20,INSPEÇÃO NA AREA DOS FORNOS E PCI,inspecao na area dos fornos e pci
21,EMERGENCIA NA LIMPEZA DE GAS BACIA SUPEROR  QUEDRA DA SVALVULAS SHUT-OFF,emergencia na limpeza de gas bacia superor  quedra da svalvulas shut-off
22,PREPARAÇÃO DE PARADA,preparacao de parada
23,PARADA AF2,parada af2
24,PARADA DE EMERGENCIA AF2,parada de emergencia af2
25,RPT DO AF 3,rpt do af 3
26,CARREGAMENTO AF3 BALANÇA 1 SINTER,carregamento af3 balanca 1 sinter
27,ACOMPANHAMENTO NO FORNO 2 CASA DE CORRIDA,acompanhamento no forno 2 casa de corrida
28,PARADA DO AF3,parada do af3
29,RETORNO DO FORNO 2 PARADA DE EMERGENCIA STAVES,retorno do forno 2 parada de emergencia staves
30,PARADA DE AF 1 E PCI1,parada de af 1 e pci1
31,TROCA DO VENTILADOR DA TORRE DE REFRIGERAÇÃO AF2,troca do ventilador da torre de refrigeracao af2
32,PLANO E PARADA DE EMERGENCIA DO AF2 CAIXA 16,plano e parada de emergencia do af2 caixa 16
33,PREPARAÇAO CILINDRO DE GIRO CANHAO1 AF2,preparacao cilindro de giro canhao1 af2
34,TROCA DO CILINDRO DE GIRO CANHAO1 AF2,troca do cilindro de giro canhao1 af2
35,TROCA DA MARRETA 4 AF3,troca da marreta 4 af3
36,TROCA DA FM26,troca da fm26
37,ORGANIZAÇAO DO GALPÃO,organizacao do galpao
38,SINTER 1 QUEBRA DA CALHA VIBRATORIA,sinter 1 quebra da calha vibratoria
39,RETIRADA DA CARRIAGEM,retirada da carriagem
40,ACOMPANHAMENTO NA OFICINA CENTRAL CARRIAGEM,acompanhamento na oficina central carriagem
41,MONTAGEM DA LANÇA MOVEL,montagem da lanca movel
42,PARADA DO AF2,parada do af2
43,PARADA DO AF1,parada do af1
44,PARADA AF3,parada af3
