Justificativa,Justificativa_processada,Classificacao,Justificativa_classificada
Participação Em Apresentação De Nova Planta Que Está Sendo Construída.Em Fase Final.,participacao em apresentacao de nova planta que esta sendo construida.em fase final.,,Outros Eventos Externos
Acompanhamento de limpeza no TK 2201.,acompanhamento de limpeza no tk 2201.,,Manutenção/Inspeção/Teste de Máquina
"Eleições municipais 2024, 1º turno.","eleicoes municipais 2024, 1o turno.",,Outros Eventos Externos
RMS e Workhop,rms e workhop,,Não Classificado
Susbtituição de Funcionário,susbtituicao de funcionario,,Substituição de Colaborador
Operação do Alto Forno 01 instável,operacao do alto forno 01 instavel,,Parada de Máquina
EPM - EQUIPAMENTO DE PROTEÇÃO MENTAL,epm - equipamento de protecao mental,,Não Classificado
FERIAS DE SUPERVISOR,ferias de supervisor,,Substituição de Colaborador
ACOMPANHAMENTO APÓS RETORNO OPERACIONAL DO ALTO FORNO 01,acompanhamento apos retorno operacional do alto forno 01,,Manutenção/Inspeção/Teste de Máquina
RMS da letra D,rms da letra d,,Não Classificado
ACOMPANHAMENTO DE REINICIO DE OPERAÇÃO DO ALTO FORNO 01,acompanhamento de reinicio de operacao do alto forno 01,,Manutenção/Inspeção/Teste de Máquina
RMS,rms,,Não Classificado
ACOMPANHAMENTO DE PROCESSO DO AF1 DEVIDO INSTABILIDADE OPERACIONAL,acompanhamento de processo do af1 devido instabilidade operacional,,Parada de Máquina
ACOMPANHAMENTO DO PROCESSO DO AF1 (INSTABILIDADE OPERACIONAL),acompanhamento do processo do af1 (instabilidade operacional),,Parada de Máquina
ROLETE DA MCC3,rolete da mcc3,,Não Classificado
INTER JORNADA DO DIA 16/01,inter jornada do dia 16/01,,Não Classificado
ACOMPANHAMENTO DO FORNO 2,acompanhamento do forno 2,,Manutenção/Inspeção/Teste de Máquina
AJUSTE NA VAZAO DA PENEIRA CS07,ajuste na vazao da peneira cs07,,Manutenção/Inspeção/Teste de Máquina
MOTOR VENTILADOR PRINCIPAL,motor ventilador principal,,Parada de Máquina
VALVULA DE EQUALIZAÇÃO DO HS1,valvula de equalizacao do hs1,,Manutenção/Inspeção/Teste de Máquina
RPT DO AF 3,rpt do af 3,,Não Classificado
CARREGAMENTO AF3 BALANÇA 1 SINTER,carregamento af3 balanca 1 sinter,,Parada de Máquina
ACOMPANHAMENTO NO FORNO 2 CASA DE CORRIDA,acompanhamento no forno 2 casa de corrida,,Manutenção/Inspeção/Teste de Máquina
TROCA DO VENTILADOR DA TORRE DE REFRIGERAÇÃO AF2,troca do ventilador da torre de refrigeracao af2,,Manutenção/Inspeção/Teste de Máquina
PREPARAÇAO CILINDRO DE GIRO CANHAO1 AF2,preparacao cilindro de giro canhao1 af2,,Manutenção/Inspeção/Teste de Máquina
TROCA DO CILINDRO DE GIRO CANHAO1 AF2,troca do cilindro de giro canhao1 af2,,Manutenção/Inspeção/Teste de Máquina
TROCA DA MARRETA 4 AF3,troca da marreta 4 af3,,Manutenção/Inspeção/Teste de Máquina
TROCA DA FM26,troca da fm26,,Manutenção/Inspeção/Teste de Máquina
ORGANIZAÇAO DO GALPÃO,organizacao do galpao,,Outros Eventos Externos
SINTER 1 QUEBRA DA CALHA VIBRATORIA,sinter 1 quebra da calha vibratoria,,Parada de Máquina
RETIRADA DA CARRIAGEM,retirada da carriagem,,Manutenção/Inspeção/Teste de Máquina
ACOMPANHAMENTO NA OFICINA CENTRAL CARRIAGEM,acompanhamento na oficina central carriagem,,Manutenção/Inspeção/Teste de Máquina
MONTAGEM DA CARRIAGEM,montagem da carriagem,,Manutenção/Inspeção/Teste de Máquina
MONTAGEM DA LANÇA MOVEL,montagem da lanca movel,,Manutenção/Inspeção/Teste de Máquina
ACIONAMENTO DO JIB 2,acionamento do jib 2,,Manutenção/Inspeção/Teste de Máquina
ORGANIZAÇÃO DO GALPÃO,organizacao do galpao,,Outros Eventos Externos
VENTILADOR 1 DA REFRIGERAÇAÕ,ventilador 1 da refrigeracao,,Parada de Máquina
MOSTRAR GUINDASTE PARA RETIRADA DA SONDAGEM NO AF2,mostrar guindaste para retirada da sondagem no af2,,Manutenção/Inspeção/Teste de Máquina
RECEBIMENTO DA LANÇA FIXA AF3,recebimento da lanca fixa af3,,Não Classificado
ACOMPANHAMENTO DO AF3,acompanhamento do af3,,Manutenção/Inspeção/Teste de Máquina
JIB 2,jib 2,,Não Classificado
